reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,1.0 h2o_c + 1.0 csn_c + 1.0 h_c -> 1.0 ura_c + 1.0 nh4_c,-65.30000000000001,-110.07638723099274,-92.26413857865249,0.0,-3.58813e-05,0.0,1.0,True
ADNt2pp,1.0 h_p + 1.0 adn_p -> 1.0 adn_c + 1.0 h_c,40.0,-3058.7262175764886,-3058.7262175764886,0.0,1000.0,0.0,1.0,True
GTPDPDP,1.0 h2o_c + 1.0 gdptp_c -> 1.0 ppgpp_c + 1.0 pi_c + 1.0 h_c,17.49999999999909,-10.64550630918351,-10.645506309183512,0.0,-3.58813e-05,0.0,1.0,True
NTD10,1.0 xmp_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 xtsn_c,-12.800000000000182,-40.94550630918278,-40.94550630918278,0.0,-3.58813e-05,0.0,1.0,True
NTD11,1.0 h2o_c + 1.0 imp_c -> 1.0 pi_c + 1.0 ins_c,-12.700000000000045,-44.078665513581115,-29.403342906985614,0.0,-3.58813e-05,0.25,1.0,True
NTD12,1.0 dimp_c + 1.0 h2o_c -> 1.0 din_c + 1.0 pi_c,-12.70000000000016,-40.84550630918276,-40.84550630918276,0.0,-1.02518e-05,0.0,1.0,True
PMEACPE,1.0 pmeACP_c + 1.0 h2o_c -> 1.0 pimACP_c + 1.0 meoh_c,148.70000000000002,103.92361276907712,121.73586142141737,9.55436e-07,2.69e-07,0.0,0.5,False
XTSNH,1.0 h2o_c + 1.0 xtsn_c -> 1.0 rib_DASH_D_c + 1.0 xan_c,-9.400000000000006,-54.176387230992724,-36.36413857865248,0.0,-3.58813e-05,0.0,1.0,True
DDPA,1.0 pep_c + 1.0 e4p_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 2dda7p_c,-70.79999999999973,-72.22527540993576,-77.22894741773071,0.177673,0.177664,0.2,1.0,True
Htex,1.0 h_e <=> 1.0 h_p,0.0,-3498.8606760221282,-3498.8606760221282,-51.115,-51.1163,0,1.0,False
P5CD,1.0 1pyr5c_c + 2.0 h2o_c + 1.0 nad_c -> 1.0 glu_DASH_L_c + 1.0 nadh_c + 1.0 h_c,-31.100000000000023,-33.927506398651914,-50.01801094791335,0.0,-2.39209e-05,0.6,1.0,True
2DGULRy,1.0 nadph_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 nadp_c + 1.0 idon_DASH_L_c,-58.99999999999994,-64.38775208180311,-64.72086719316115,0.0,0.0,0.5,1.0,True
2DGULRx,1.0 nadh_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 idon_DASH_L_c + 1.0 nad_c,-57.69999999999993,-54.28792013956834,-55.4758601759555,0.0,0.0,0.5,1.0,True
GAMptspp,1.0 pep_c + 1.0 gam_p -> 1.0 pyr_c + 1.0 gam6p_c,-4.699999999999818,-3.7430167813361095,-7.8280976462927185,0.0,0.0,0.5,1.0,True
P5CR,1.0 1pyr5c_c + 1.0 nadph_c + 2.0 h_c -> 1.0 pro_DASH_L_c + 1.0 nadp_c,-107.89999999999998,-113.28775208180316,-113.62086719316119,0.102614,0.102542,0.5,1.0,True
GLUTRR,1.0 glutrna_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 glu1sa_c + 1.0 trnaglu_c,-180.2,-220.03088165602338,-202.55174811504116,0.00255675,0.00255091,0.4,0.6666666666666666,True
GLUTRS,1.0 glu_DASH_L_c + 1.0 trnaglu_c + 1.0 atp_c -> 1.0 glutrna_c + 1.0 ppi_c + 1.0 amp_c,144.0999999999999,128.3325344851656,128.4423992428483,0.00255675,0.00255091,0.5,0.6666666666666666,False
ULA4Ntppi,1.0 uLa4n_c -> 1.0 uLa4n_p,0.0,0.0,0.0,0.0,-3.60013e-07,0.0,0.0,True
GLCtexi,1.0 glc_DASH_D_e -> 1.0 glc_DASH_D_p,0.0,0.0,0.0,0.0,1000.0,0.0,1.0,True
MSAR,1.0 nadph_c + 1.0 h_c + 1.0 msa_c -> 1.0 3hpp_c + 1.0 nadp_c,-61.599999999999966,-66.98775208180314,-67.32086719316118,0.0,-2.40545e-06,0.5,1.0,True
AGM4Pt2pp,1.0 h_p + 1.0 anhgm4p_p -> 1.0 anhgm4p_c + 1.0 h_c,2.8999999999999986,3015.533682423534,3015.533682423534,0.000143525,-4.78418e-05,0.0,0.5,True
EX_uacgam_LPAREN_e_RPAREN_,1.0 uacgam_e ->,2086.4,2120.84312957415,2103.0308809218104,0.0,0.0,0.0,1.0,True
KAS15,1.0 malACP_c + 1.0 h_c + 1.0 accoa_c -> 1.0 actACP_c + 1.0 co2_c + 1.0 coa_c,-380.20000000000005,-397.3656454560675,-396.7233011912691,0.0,-1.02518e-05,0.4,0.6666666666666666,True
HBZOPT,1.0 4hbz_c + 1.0 octdp_c -> 1.0 3ophb_c + 1.0 ppi_c,-89.20000000000005,-72.56911907818993,-90.38136773053017,0.000106531,0.000106531,0.0,1.0,True
LEUtex,1.0 leu_DASH_L_e <=> 1.0 leu_DASH_L_p,0.0,0.0,0.0,1.19604e-05,0.0,0.0,1.0,True
EX_r5p_LPAREN_e_RPAREN_,1.0 r5p_e ->,1240.5,1274.9431295741504,1257.13088092181,0.0,0.0,0.0,1.0,True
G5SADs,1.0 glu5sa_c -> 1.0 1pyr5c_c + 1.0 h2o_c + 1.0 h_c,65.79999999999998,76.13325765684235,76.13325765684235,0.102614,0.10259,0.0,1.0,False
ALAALAtex,1.0 alaala_e <=> 1.0 alaala_p,0.0,0.0,0.0,1.79407e-05,0.0,0.0,1.0,True
EX_cm_LPAREN_e_RPAREN_,1.0 cm_e ->,-134.7,-100.25687042584963,-118.06911907818987,0.0,0.0,0.0,1.0,True
LYStex,1.0 lys_DASH_L_e <=> 1.0 lys_DASH_L_p,0.0,-3457.298762500001,-3457.298762500001,7.97363e-06,0.0,0.0,1.0,True
ORNtex,1.0 orn_e <=> 1.0 orn_p,0.0,-3457.298762500001,-3457.298762500001,7.55396e-06,0.0,0.0,1.0,True
2AGPG141tipp,1.0 2agpg141_p -> 1.0 2agpg141_c,0.0,3055.6799499999997,3055.6799499999997,0.0,-0.000143525,0.0,0.0,True
RHAT1,1.0 dtdprmn_c + 1.0 kphphhlipa_c -> 1.0 icolipa_c + 1.0 dtdp_c + 1.0 h_c,100.0,100.0,100.0,0.00389388,0.0038935,0.0,0.6,False
OMMBLHX,0.5 o2_c + 1.0 2ommbl_c -> 1.0 2omhmbl_c,-8.2,4.445619823965629,4.445619823965625,0.0,-1.38895e-05,0.0,0.3333333333333333,True
OMPHHX,0.5 o2_c + 1.0 2omph_c -> 1.0 2ombzl_c,-3794.6,-1003781.9543801761,996218.0456198239,0.0,-1.38895e-05,0.0,0.6666666666666666,True
